IdProducto,IdCategoria,Marca,Observacion,PrecioCompra,PrecioVenta,Nombre,Codigo,Stock,FechaAct,Usuario,UbicStock,StoAnt,Familia
50969,1, , ,0,0,"MASKING P.EXTERIOR -AZUL- 24 MM X 40M. 

         ",82364,1000000,,,0,,8
50970,1, ,,0,33920,BROCA HSS FRESADA Y RECTIFICADA  TECNOXP 22MM     ,8257,6,,,1,,4
50971,1, ,,0,37310,BROCA HSS FRESADA Y RECTIFICADA TECNOXP 23MM      ,8256,6,,,1,,4
50972,1, , ,0,0,"TALADRO RECARGABLE  12V/2.0  DONGCHENG""

         ",82366,1000000,,,0,,4
50973,1, ,,0,14980,BARNIZ AQ 320 MATE                                ,32000000MT11    ,35,,,1,,9
50974,1, ,,0,44200,BROCA HSS FRESADA Y RECTIFICADA TECNOXP 25MM      ,8255,5,,,1,,4
50975,1, , ,0,0,"AUTOMATICO SWITC 1"" 10A/1.1KW AQUASTRONG

        ",4710474079179,1000000,,,0,,3
50976,1, , ,0,0,"10954 FAJA CON TIRANTES AJUST.""XL"" TRUPE

        ",7506240621232,1000000,,,0,,8
50977,1, , ,0,0,SIERRRA DE COPA BIMETALICA ACERA 38MM             ,8019662500386,1000000,,,0,,4
50978,1, ,,0,40770,BROCA HSS FRESADA Y RECTIFICADA TECNOXP 24MM      ,8254,6,,,1,,4
50979,1, , ,0,0,CONTACTOR LEXO CJX2 D3210M7 32A                   ,7807371006951,1000000,,,0,,3
50980,1, , ,0,0,CONTACTOR LEXO CJX2 D5011M7 50A                   ,7807371006975,1000000,,,0,,3
50981,1, , ,0,0,WD-40 226G                                        ,79567520085,1000000,,,0,,4
50982,1, ,,0,20440,"TABLA PLANCHAR VERONA 10 X 38 

                  ",7807999654367,4,,,0,,8
50983,1, ,,0,15980,OLEO BRILLANTE RECORD CAFE MORO                   ,2500000912450,22,,,1,,9
50984,1, , ,0,0,COLLARIN POLIPROPILENO  90MMX3/4                  ,10131,1000000,,,0,,1
50985,1, , ,0,0,COLLARIN POLIPROPILENO  75MMX1 1/2                ,10132,1000000,,,0,,1
50986,1, ,,0,9700,FITTING UNIVERSAL MANILLA METALICA                ,720206475715,100,,,1,,1
50987,1, , ,0,0,"CINTA PVC LEXO  3/4""X20 YD AMARILLA950890

       ",82372,1000000,,,0,,3
50988,1, , ,0,0,VALVULA DE ADMISION PLUS 15/16 PGD                ,720206479140,1000000,,,0,,1
50989,1, , ,0,0,"CINTA EMBAL. CAFÉ ISESA 48MM X 40M 

             ",82374,1000000,,,0,,8
50990,1, , ,0,0,ALARGADOR ACORDEON BLANCO UNIVERSAL               ,10134,1000000,,,0,,1
50991,1, , ,0,0,MONOMANDO LAVAPLATOS COLINA                       ,720206487824,1000000,,,0,,4
50992,1, , ,0,0,GUANTE TECHNICAL ALTA DESTREZA HI-PERFORMANCE     ,2124189932704,1000000,,,0,,4
50993,1, , ,0,0,SET ANCLAJE BOLSA                                 ,720206483963,1000000,,,0,,4
50994,1, , ,0,0,CANDADO STANDARD 63MM                             ,614143489327,1000000,,,0,,4
50995,1, , ,0,0,COMB LAVPL 8PGD FLORENTINA CROMADO                ,720206457803,1000000,,,0,,1
50996,1, , ,0,0,"LAVARROPA MODELO TQ2 DE 24LITROS

                ",10133,1000000,,,0,,1
50997,1, , ,0,0,ADAPTADOR BI MANGUERA 3/4  Y 1  HI EDR            ,6943477990068,1000000,,,0,,4
50998,1, , ,0,0,"PROGRAMADOR ELC 6 EST, INTERIOR ( ELC-601I-E )    ",611698151952,1000000,,,0,,4
